id,date,merchant,category,amount
tx-j001,2026-01-01,UC San Diego Health Payroll,income,5375
tx-j002,2026-01-15,UC San Diego Health Payroll,income,5375
tx-j003,2026-01-01,Mission Valley Apartments Rent,housing,-2650
tx-j004,2026-01-05,SDGE - Electric & Gas,housing,-188
tx-j005,2026-01-04,Ralphs - La Jolla,food,-118
tx-j006,2026-01-08,Vons - Pacific Beach,food,-94
tx-j007,2026-01-11,Trader Joe's Hillcrest,food,-86
tx-j008,2026-01-15,Phil's BBQ,food,-42
tx-j009,2026-01-19,Whole Foods UTC,food,-132
tx-j010,2026-01-23,Coffee Bean & Tea Leaf,food,-38
tx-j011,2026-01-27,Seaport Village Restaurant,food,-67
tx-j012,2026-01-06,ARCO Gas - I-805,transport,-78
tx-j013,2026-01-13,ARCO Gas - I-805,transport,-82
tx-j014,2026-01-07,MTS Compass Card,transport,-72
tx-j015,2026-01-21,MTS Compass Card,transport,-72
tx-j016,2026-01-14,State Farm Auto Insurance,transport,-156
tx-j017,2026-01-06,Toyota Financial Services,debt,-485
tx-j018,2026-01-06,Navient Student Loan,debt,-320
tx-j019,2026-01-10,Netflix,lifestyle,-18
tx-j020,2026-01-10,Spotify,lifestyle,-11
tx-j021,2026-01-12,Padres Game Tickets,lifestyle,-86
tx-j022,2026-01-18,REI - Outdoor Gear,lifestyle,-124
tx-j023,2026-01-24,Balboa Park Museums,lifestyle,-45
tx-j024,2026-01-05,Fidelity Brokerage Transfer,savings,-950
tx-j025,2026-02-01,UC San Diego Health Payroll,income,5375
tx-j026,2026-02-15,UC San Diego Health Payroll,income,5375
tx-j027,2026-02-01,Mission Valley Apartments Rent,housing,-2650
tx-j028,2026-02-05,SDGE - Electric & Gas,housing,-192
tx-j029,2026-02-03,Ralphs - La Jolla,food,-125
tx-j030,2026-02-07,Vons - Pacific Beach,food,-88
tx-j031,2026-02-10,Trader Joe's Hillcrest,food,-91
tx-j032,2026-02-14,Extraordinary Desserts,food,-54
tx-j033,2026-02-18,Whole Foods UTC,food,-118
tx-j034,2026-02-22,Coffee Bean & Tea Leaf,food,-41
tx-j035,2026-02-26,Fish Market San Diego,food,-72
tx-j036,2026-02-04,ARCO Gas - I-805,transport,-81
tx-j037,2026-02-11,ARCO Gas - I-805,transport,-76
tx-j038,2026-02-08,MTS Compass Card,transport,-72
tx-j039,2026-02-22,MTS Compass Card,transport,-72
tx-j040,2026-02-14,State Farm Auto Insurance,transport,-156
tx-j041,2026-02-06,Toyota Financial Services,debt,-485
tx-j042,2026-02-06,Navient Student Loan,debt,-320
tx-j043,2026-02-10,Netflix,lifestyle,-18
tx-j044,2026-02-10,Spotify,lifestyle,-11
tx-j045,2026-02-15,Coronado Ferry & Beach Day,lifestyle,-58
tx-j046,2026-02-19,Amazon,lifestyle,-96
tx-j047,2026-02-25,24 Hour Fitness,lifestyle,-49
tx-j048,2026-02-05,Fidelity Brokerage Transfer,savings,-950
