id,date,merchant,category,amount
tx-b001,2026-01-01,Employer Paycheck,income,3100
tx-b002,2026-01-15,Employer Paycheck,income,3100
tx-b003,2026-01-01,Rent Payment,housing,-1800
tx-b004,2026-01-04,Whole Foods Market,food,-145
tx-b005,2026-01-08,Instacart Delivery,food,-63
tx-b006,2026-01-12,Chipotle Mexican Grill,food,-32
tx-b007,2026-01-15,DoorDash,food,-78
tx-b008,2026-01-20,Target - Groceries,food,-87
tx-b009,2026-01-24,Restaurant Dinner,food,-94
tx-b010,2026-01-27,Blue Bottle Coffee,food,-51
tx-b011,2026-01-05,Chevron Gas,transport,-92
tx-b012,2026-01-18,Shell Gas Station,transport,-88
tx-b013,2026-01-22,Uber,transport,-45
tx-b014,2026-01-06,FedLoan Student Loan,debt,-620
tx-b015,2026-01-06,Chase Credit Card Min,debt,-280
tx-b016,2026-01-06,Toyota Financial Car Loan,debt,-415
tx-b017,2026-01-10,Netflix,lifestyle,-18
tx-b018,2026-01-10,Spotify,lifestyle,-11
tx-b019,2026-01-10,Hulu,lifestyle,-18
tx-b020,2026-01-14,Amazon - Shopping,lifestyle,-187
tx-b021,2026-01-17,Nordstrom,lifestyle,-142
tx-b022,2026-01-20,LA Fitness,lifestyle,-45
tx-b023,2026-01-23,Bar & Nightlife,lifestyle,-89
tx-b024,2026-01-26,Sephora,lifestyle,-74
tx-b025,2026-01-05,High Yield Savings Transfer,savings,-200
tx-b026,2026-02-01,Employer Paycheck,income,3100
tx-b027,2026-02-15,Employer Paycheck,income,3100
tx-b028,2026-02-01,Rent Payment,housing,-1800
tx-b029,2026-02-03,Whole Foods Market,food,-132
tx-b030,2026-02-07,Instacart Delivery,food,-55
tx-b031,2026-02-11,Chipotle Mexican Grill,food,-28
tx-b032,2026-02-14,DoorDash,food,-91
tx-b033,2026-02-18,Target - Groceries,food,-79
tx-b034,2026-02-22,Restaurant Dinner,food,-107
tx-b035,2026-02-25,Blue Bottle Coffee,food,-44
tx-b036,2026-02-04,Chevron Gas,transport,-88
tx-b037,2026-02-17,Shell Gas Station,transport,-95
tx-b038,2026-02-21,Uber,transport,-38
tx-b039,2026-02-06,FedLoan Student Loan,debt,-620
tx-b040,2026-02-06,Chase Credit Card Min,debt,-280
tx-b041,2026-02-06,Toyota Financial Car Loan,debt,-415
tx-b042,2026-02-10,Netflix,lifestyle,-18
tx-b043,2026-02-10,Spotify,lifestyle,-11
tx-b044,2026-02-10,Hulu,lifestyle,-18
tx-b045,2026-02-13,Amazon - Shopping,lifestyle,-143
tx-b046,2026-02-16,Nordstrom,lifestyle,-98
tx-b047,2026-02-19,LA Fitness,lifestyle,-45
tx-b048,2026-02-23,Bar & Nightlife,lifestyle,-72
tx-b049,2026-02-26,Disney Plus,lifestyle,-14
tx-b050,2026-02-05,High Yield Savings Transfer,savings,-200
